name,slug,genre,image_url,description,social_links,
Hardcore Superstar,hardcore-superstar,,,,,
Symphony Cult,symphony-cult,,,,,
The Crave,the-crave,,,,,
Anvil,anvil,,,,,
Thunder,thunder,,,,,
Lawnmower Deth,lawnmower-deth,,,,,
Man Raze,man-raze,,,,,
General Fiasco,general-fiasco,,,,,
Billy Boy on Poison,billy-boy-on-poison,,,,,
Loverman,loverman,,,,,
Facecage,facecage,,,,,
Black Spiders,black-spiders,,,,,
No Americana,no-americana,,,,,
Acid Drop,acid-drop,,,,,
This City,this-city,,,,,
People in Planes,people-in-planes,,,,,
My Passion,my-passion,,,,,
The Auteur,the-auteur,,,,,
None the Less,none-the-less,,,,,
13 Riots,13-riots,,,,,
Forever Never,forever-never,,,,,
Serpico,serpico,,,,,
The Computers,the-computers,,,,,
Japanese Voyeurs,japanese-voyeurs,,,,,
Auger Bane,auger-bane,,,,,
Def Leppard,def-leppard,,,,,
Whitesnake,whitesnake,,,,,
ZZ Top,zz-top,,,,,
Journey,journey,,,,,
Skin,skin,,,,,
Tesla,tesla,,,,,
Shinedown,shinedown,,,,,
Volbeat,volbeat,,,,,
Karma to Burn,karma-to-burn,,,,,
Sevendust,sevendust,,,,,
God Forbid,god-forbid,,,,,
Suicide Silence,suicide-silence,,,,,
Sacred Mother Tongue,sacred-mother-tongue,,,,,
The 69 Eyes,the-69-eyes,,,,,
Sabbat,sabbat,,,,,
Steel Panther,steel-panther,,,,,
Dear Superstar,dear-superstar,,,,,
Hexes,hexes,,,,,
Esoterica,esoterica,,,,,
Pulled Apart by Horses,pulled-apart-by-horses,,,,,
Turbowolf,turbowolf,,,,,
Violent Soho,violent-soho,,,,,
Brides,brides,,,,,
We Are the Ocean,we-are-the-ocean,,,,,
Exit Avenue,exit-avenue,,,,,
First Strike,first-strike,,,,,
Twin Atlantic,twin-atlantic,,,,,
Attack! Attack!,attack!-attack!,,,,,
Logan,logan,,,,,
Fei Comodo,fei-comodo,,,,,
Jettblack,jettblack,,,,,
Million $ Reload,million-$-reload,,,,,
Raucous Jays,raucous-jays,,,,,
Fall from Grace,fall-from-grace,,,,,
AC/DC,ac/dc,,,,,
Them Crooked Vultures,them-crooked-vultures,,,,,
Tyketto,tyketto,,,,,
Sweethead,sweethead,,,,,
Year Long Disaster,year-long-disaster,,,,,
Funeral Party,funeral-party,,,,,
Heights,heights,,,,,
Never Means Maybe,never-means-maybe,,,,,
Taylor Hawkins and the Coattail Riders,taylor-hawkins-and-the-coattail-riders,,,,,
Imicus,imicus,,,,,
The Humour,the-humour,,,,,
Sondura,sondura,,,,,
Starseed,starseed,,,,,
Danny Vaughn,danny-vaughn,,,,,
Rage Against the Machine,rage-against-the-machine,,,,,
Taking Dawn,taking-dawn,,,,,
We Are the Fallen,we-are-the-fallen,,,,,
Sonic Syndicate,sonic-syndicate,,,,,
Michael Monroe,michael-monroe,,,,,
Y&T,y&t,,,,,
Senser,senser,,,,,
Enuff Z'nuff,enuff-z'nuff,,,,,
Halestorm,halestorm,,,,,
Rock Sugar,rock-sugar,,,,,
Genitorturers,genitorturers,,,,,
Reckless Love,reckless-love,,,,,
Sybreed,sybreed,,,,,
Holy Grail,holy-grail,,,,,
Killing for Company,killing-for-company,,,,,
Godsized,godsized,,,,,
Kadawatha,kadawatha,,,,,
This Is Divine,this-is-divine,,,,,
Stand Up Guy,stand-up-guy,,,,,
No Mean City,no-mean-city,,,,,
The Dead Lay Waiting,the-dead-lay-waiting,,,,,
The Plight,the-plight,,,,,
Urban Voodoo Machine,urban-voodoo-machine,,,,,
Revoker,revoker,,,,,
The More I See,the-more-i-see,,,,,
Dommin,dommin,,,,,
Everything Burns,everything-burns,,,,,
Aerosmith,aerosmith,,,,,
Stone Temple Pilots,stone-temple-pilots,,,,,
Slash,slash,,,,,
Cinderella,cinderella,,,,,
FM,fm,,,,,
The Damned Things,the-damned-things,,,,,
Switchfoot,switchfoot,,,,,
Nonpoint,nonpoint,,,,,
White Wizzard,white-wizzard,,,,,
Die Apokalyptischen Reiter,die-apokalyptischen-reiter,,,,,
Whitechapel,whitechapel,,,,,
The Jim Jones Revue,the-jim-jones-revue,,,,,
Your Demise,your-demise,,,,,
Crime in Stereo,crime-in-stereo,,,,,
TAB the Band,tab-the-band,,,,,
The Morning After,the-morning-after,,,,,
