name,slug,genre,image_url,description,social_links,
Mothica,mothica,,,,,
LØLØ,lølø,,,,,
Split Chain,split-chain,,,,,
Venus Grrrls,venus-grrrls,,,,,
Bex,bex,,,,,
Kittie,kittie,,,,,
Anaal Nathrakh,anaal-nathrakh,,,,,
The Funeral Portrait,the-funeral-portrait,,,,,
Teen Mortgage,teen-mortgage,,,,,
Holy Wars,holy-wars,,,,,
Zetra,zetra,,,,,
Bastardane,bastardane,,,,,
Lastelle,lastelle,,,,,
Artio,artio,,,,,
Jerry Cantrell,jerry-cantrell,,,,,
Seven Hours After Violet,seven-hours-after-violet,,,,,
The Southern River Band,the-southern-river-band,,,,,
House of Protection,house-of-protection,,,,,
Spiritual Cramp,spiritual-cramp,,,,,
Amira Elfeky,amira-elfeky,,,,,
Arrows in Action,arrows-in-action,,,,,
Harpy,harpy,,,,,
Fit for an Autopsy,fit-for-an-autopsy,,,,,
Novelists,novelists,,,,,
Unprocessed,unprocessed,,,,,
President,president,,,,,
Vowws,vowws,,,,,
Survive Said the Prophet,survive-said-the-prophet,,,,,
Vower,vower,,,,,
Faetooth,faetooth,,,,,
Archers,archers,,,,,
Neckbreakker,neckbreakker,,,,,
